"user_id","experiment_id","variation","first_joined_experiment","path"
296,"Experiment 1","variant",2018-07-02,"example.com/features"
296,"Experiment 2","B",2018-07-02,"example.com/features"
304,"Experiment 1","variant",2018-06-10,"example.com/pricing"
322,"Experiment 1","original",2018-06-22,"example.com"
340,"Experiment 1","original",2018-06-06,"example.com"
347,"Experiment Sim Currently Running","A",2019-01-29,"example.com"
349,"Experiment 1","original",2018-06-14,"example.com/features"
364,"Experiment 1","variant",2018-06-07,"example.com"
369,"Experiment 2","A",2018-07-08,"example.com/features"
373,"Experiment 1","variant",2018-06-30,"example.com/pricing"
386,"Experiment 1","variant",2018-07-02,"example.com"
395,"Experiment Sim Currently Running","A",2019-01-27,"example.com"
399,"Experiment 1","variant",2018-07-04,"example.com"
399,"Experiment 2","B",2018-07-09,"example.com/features"
400,"Experiment 1","original",2018-06-06,"example.com/features"
402,"Experiment 1","variant",2018-07-01,"example.com/pricing"
404,"Experiment 1","variant",2018-06-20,"example.com"
409,"Experiment 1","variant",2018-06-14,"example.com"
430,"Experiment 1","original",2018-06-18,"example.com"
430,"Experiment 2","A",2018-06-20,"example.com/features"
435,"Experiment 1","variant",2018-06-08,"example.com/features"
439,"Experiment 1","variant",2018-06-07,"example.com"
440,"Experiment 1","variant",2018-06-29,"example.com"
445,"Experiment 1","original",2018-06-24,"example.com"
446,"Experiment 1","variant",2018-06-23,"example.com"
446,"Experiment 2","B",2018-07-01,"example.com/features"
479,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
482,"Experiment 1","original",2018-06-27,"example.com"
483,"Experiment 1","original",2018-06-28,"example.com/features"
483,"Experiment 2","A",2018-06-28,"example.com/features"
496,"Experiment 1","original",2018-07-04,"example.com/pricing"
508,"Experiment 1","original",2018-06-09,"example.com/features"
517,"Experiment 1","original",2018-07-02,"example.com"
522,"Experiment 1","variant",2018-06-18,"example.com/features"
530,"Experiment 1","variant",2018-06-28,"example.com"
537,"Experiment 1","variant",2018-06-26,"example.com/features"
537,"Experiment 2","B",2018-06-26,"example.com/features"
539,"Experiment 1","variant",2018-06-28,"example.com/pricing"
543,"Experiment 1","variant",2018-07-03,"example.com/pricing"
543,"Experiment 2","B",2018-07-12,"example.com/features"
547,"Experiment 1","variant",2018-06-20,"example.com/features"
547,"Experiment 2","B",2018-06-20,"example.com/features"
549,"Experiment Sim Currently Running","A",2019-01-26,"example.com"
562,"Experiment 1","original",2018-06-20,"example.com"
564,"Experiment 1","variant",2018-06-26,"example.com"
565,"Experiment 1","variant",2018-06-11,"example.com/pricing"
566,"Experiment 1","original",2018-06-21,"example.com"
566,"Experiment 2","A",2018-06-23,"example.com/features"
567,"Experiment 1","variant",2018-06-10,"example.com"
576,"Experiment Sim Currently Running","B",2019-01-26,"example.com"
578,"Experiment 1","variant",2018-06-09,"example.com/features"
581,"Experiment 1","original",2018-06-26,"example.com/features"
581,"Experiment 2","A",2018-06-26,"example.com/features"
590,"Experiment 1","original",2018-06-14,"example.com"
610,"Experiment 2","B",2018-07-11,"example.com/features"
612,"Experiment 2","B",2018-07-05,"example.com/features"
623,"Experiment Sim Currently Running","B",2019-01-24,"example.com"
630,"Experiment 2","B",2018-07-17,"example.com/features"
642,"Experiment 1","variant",2018-06-07,"example.com"
651,"Experiment Sim Currently Running","A",2019-01-30,"example.com"
654,"Experiment Sim Currently Running","A",2019-01-27,"example.com"
677,"Experiment 1","variant",2018-06-18,"example.com/pricing"
684,"Experiment 1","variant",2018-06-17,"example.com"
691,"Experiment 1","variant",2018-07-03,"example.com"
697,"Experiment 1","variant",2018-06-28,"example.com/pricing"
698,"Experiment Sim Currently Running","A",2019-01-26,"example.com"
702,"Experiment 1","variant",2018-06-22,"example.com"
706,"Experiment Sim Currently Running","A",2019-01-28,"example.com"
708,"Experiment 1","original",2018-06-04,"example.com/features"
719,"Experiment 1","variant",2018-06-08,"example.com"
721,"Experiment 2","A",2018-07-10,"example.com/features"
726,"Experiment 1","original",2018-06-19,"example.com/pricing"
726,"Experiment 2","A",2018-06-22,"example.com/features"
737,"Experiment 1","variant",2018-06-18,"example.com"
737,"Experiment 2","B",2018-06-22,"example.com/features"
751,"Experiment 1","original",2018-06-13,"example.com/pricing"
760,"Experiment 1","variant",2018-06-08,"example.com/features"
761,"Experiment 1","variant",2018-06-19,"example.com"
774,"Experiment 1","original",2018-06-06,"example.com"
787,"Experiment 1","original",2018-06-30,"example.com/features"
787,"Experiment 2","A",2018-06-30,"example.com/features"
792,"Experiment Sim Currently Running","A",2019-02-09,"example.com"
794,"Experiment Sim Currently Running","A",2019-01-24,"example.com"
809,"Experiment Sim Currently Running","A",2019-01-27,"example.com"
811,"Experiment 1","original",2018-06-05,"example.com"
818,"Experiment 1","original",2018-06-08,"example.com"
824,"Experiment Sim Currently Running","B",2019-01-26,"example.com"
829,"Experiment 1","original",2018-06-04,"example.com"
832,"Experiment 1","original",2018-07-03,"example.com"
832,"Experiment 2","A",2018-07-04,"example.com/features"
836,"Experiment 1","original",2018-06-09,"example.com"
840,"Experiment 1","original",2018-06-21,"example.com/features"
840,"Experiment 2","A",2018-06-21,"example.com/features"
848,"Experiment 1","variant",2018-06-06,"example.com"
849,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
890,"Experiment 1","original",2018-06-04,"example.com"
892,"Experiment 1","original",2018-07-02,"example.com/features"
892,"Experiment 2","A",2018-07-02,"example.com/features"
899,"Experiment Sim Currently Running","A",2019-01-25,"example.com"
901,"Experiment 1","variant",2018-06-10,"example.com/pricing"
903,"Experiment 2","A",2018-07-12,"example.com/features"
904,"Experiment 2","B",2018-07-16,"example.com/features"
905,"Experiment Sim Currently Running","B",2019-01-26,"example.com"
915,"Experiment 1","original",2018-07-02,"example.com"
916,"Experiment 1","variant",2018-06-13,"example.com/features"
932,"Experiment 1","original",2018-06-16,"example.com"
936,"Experiment 1","original",2018-07-02,"example.com/features"
936,"Experiment 2","A",2018-07-02,"example.com/features"
939,"Experiment 1","variant",2018-06-19,"example.com"
950,"Experiment 1","variant",2018-07-01,"example.com/pricing"
950,"Experiment 2","B",2018-07-07,"example.com/features"
953,"Experiment 2","B",2018-07-06,"example.com/features"
975,"Experiment 1","variant",2018-06-10,"example.com"
979,"Experiment 1","variant",2018-06-20,"example.com/features"
979,"Experiment 2","B",2018-06-20,"example.com/features"
984,"Experiment 1","variant",2018-06-29,"example.com/features"
984,"Experiment 2","B",2018-06-29,"example.com/features"
993,"Experiment 1","variant",2018-06-13,"example.com/features"
1008,"Experiment Sim Currently Running","B",2019-01-29,"example.com"
1009,"Experiment 1","variant",2018-06-18,"example.com"
1010,"Experiment 1","variant",2018-07-01,"example.com"
1015,"Experiment 2","B",2018-07-10,"example.com/features"
1022,"Experiment 1","original",2018-06-20,"example.com/pricing"
1025,"Experiment 1","variant",2018-06-30,"example.com/features"
1025,"Experiment 2","B",2018-06-30,"example.com/features"
1026,"Experiment Sim Currently Running","A",2019-01-28,"example.com"
1050,"Experiment 2","A",2018-07-13,"example.com/features"
1056,"Experiment 2","B",2018-07-17,"example.com/features"
1062,"Experiment 1","original",2018-06-18,"example.com/features"
1063,"Experiment 1","variant",2018-06-06,"example.com"
1064,"Experiment 1","original",2018-06-30,"example.com"
1064,"Experiment 2","A",2018-07-03,"example.com/features"
1077,"Experiment 1","original",2018-06-11,"example.com"
1081,"Experiment 1","original",2018-07-03,"example.com/features"
1081,"Experiment 2","A",2018-07-03,"example.com/features"
1085,"Experiment 2","B",2018-07-08,"example.com/features"
1099,"Experiment 2","A",2018-07-05,"example.com/features"
1115,"Experiment 1","original",2018-06-30,"example.com/pricing"
1115,"Experiment 2","A",2018-07-04,"example.com/features"
1117,"Experiment 1","original",2018-06-06,"example.com"
1119,"Experiment 1","variant",2018-06-15,"example.com/features"
1126,"Experiment 1","variant",2018-06-07,"example.com/pricing"
1137,"Experiment 1","original",2018-06-16,"example.com/features"
1146,"Experiment 1","variant",2018-06-10,"example.com/features"
1146,"Experiment 2","B",2018-06-19,"example.com/features"
1148,"Experiment 1","original",2018-06-09,"example.com"
1153,"Experiment 2","B",2018-07-14,"example.com/features"
1154,"Experiment 2","B",2018-07-06,"example.com/features"
1155,"Experiment 1","variant",2018-06-20,"example.com/features"
1155,"Experiment 2","B",2018-06-20,"example.com/features"
1170,"Experiment 1","original",2018-06-15,"example.com"
1171,"Experiment 1","variant",2018-06-06,"example.com"
1182,"Experiment 1","variant",2018-06-25,"example.com"
1185,"Experiment 1","variant",2018-07-02,"example.com/pricing"
1185,"Experiment 2","B",2018-07-09,"example.com/features"
1192,"Experiment 1","variant",2018-06-19,"example.com"
1192,"Experiment 2","B",2018-06-24,"example.com/features"
1202,"Experiment Sim Currently Running","A",2019-01-27,"example.com"
1216,"Experiment 1","variant",2018-06-07,"example.com/pricing"
1219,"Experiment 1","variant",2018-06-12,"example.com/features"
1220,"Experiment 1","original",2018-06-06,"example.com"
1221,"Experiment 1","original",2018-06-04,"example.com"
1224,"Experiment 1","original",2018-06-28,"example.com"
1225,"Experiment 1","variant",2018-06-07,"example.com/features"
1232,"Experiment 1","variant",2018-06-13,"example.com"
1234,"Experiment 2","A",2018-07-06,"example.com/features"
1240,"Experiment 1","original",2018-06-11,"example.com"
1247,"Experiment 1","original",2018-06-26,"example.com/features"
1247,"Experiment 2","A",2018-06-26,"example.com/features"
1262,"Experiment 1","original",2018-06-23,"example.com/features"
1262,"Experiment 2","A",2018-06-23,"example.com/features"
1263,"Experiment Sim Currently Running","B",2019-01-29,"example.com"
1264,"Experiment 1","original",2018-06-28,"example.com"
1277,"Experiment 1","original",2018-06-15,"example.com"
1280,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
1284,"Experiment 1","original",2018-06-16,"example.com"
1290,"Experiment 1","variant",2018-06-28,"example.com"
1292,"Experiment 1","variant",2018-06-27,"example.com/pricing"
1297,"Experiment Sim Currently Running","B",2019-02-01,"example.com"
1301,"Experiment 1","variant",2018-06-05,"example.com"
1302,"Experiment 2","B",2018-07-17,"example.com/features"
1311,"Experiment 1","variant",2018-06-16,"example.com/features"
1314,"Experiment 1","variant",2018-07-02,"example.com"
1315,"Experiment 1","original",2018-06-16,"example.com"
1315,"Experiment 2","A",2018-06-19,"example.com/features"
1316,"Experiment 1","variant",2018-06-15,"example.com/features"
1320,"Experiment 1","variant",2018-06-30,"example.com"
1320,"Experiment 2","B",2018-07-05,"example.com/features"
1332,"Experiment 1","variant",2018-06-19,"example.com/features"
1332,"Experiment 2","B",2018-06-19,"example.com/features"
1335,"Experiment 1","variant",2018-06-04,"example.com"
1341,"Experiment 2","A",2018-07-05,"example.com/features"
1358,"Experiment 1","variant",2018-06-07,"example.com"
1364,"Experiment 1","original",2018-06-29,"example.com"
1371,"Experiment 1","original",2018-06-16,"example.com"
1387,"Experiment Sim Currently Running","B",2019-01-29,"example.com"
1390,"Experiment 1","variant",2018-06-14,"example.com"
1390,"Experiment 2","B",2018-06-20,"example.com/features"
1399,"Experiment 1","original",2018-06-25,"example.com"
1403,"Experiment 2","A",2018-07-15,"example.com/features"
1411,"Experiment 1","variant",2018-06-06,"example.com"
1415,"Experiment 1","variant",2018-06-06,"example.com"
1416,"Experiment 1","original",2018-06-08,"example.com/pricing"
1419,"Experiment 1","original",2018-07-03,"example.com/features"
1419,"Experiment 2","A",2018-07-03,"example.com/features"
1421,"Experiment 2","B",2018-07-15,"example.com/features"
1423,"Experiment 1","original",2018-06-09,"example.com"
1456,"Experiment 1","original",2018-06-15,"example.com/pricing"
1464,"Experiment 1","variant",2018-07-01,"example.com/pricing"
1475,"Experiment 1","original",2018-06-16,"example.com/features"
1475,"Experiment 2","A",2018-06-19,"example.com/features"
1478,"Experiment 1","variant",2018-07-01,"example.com/features"
1478,"Experiment 2","B",2018-07-01,"example.com/features"
1485,"Experiment 1","variant",2018-06-05,"example.com"
1486,"Experiment 1","original",2018-06-20,"example.com"
1486,"Experiment 2","A",2018-06-22,"example.com/features"
1489,"Experiment 1","variant",2018-07-03,"example.com/features"
1489,"Experiment 2","B",2018-07-03,"example.com/features"
1492,"Experiment 2","A",2018-07-19,"example.com/features"
1502,"Experiment 1","variant",2018-07-03,"example.com/pricing"
1503,"Experiment 2","A",2018-07-12,"example.com/features"
1510,"Experiment 1","original",2018-06-28,"example.com"
1510,"Experiment 2","A",2018-06-30,"example.com/features"
1522,"Experiment 1","variant",2018-06-09,"example.com"
1529,"Experiment 1","variant",2018-06-13,"example.com"
1537,"Experiment Sim Currently Running","B",2019-02-01,"example.com"
1538,"Experiment 1","original",2018-06-10,"example.com"
1557,"Experiment 1","original",2018-07-01,"example.com/pricing"
1559,"Experiment 1","variant",2018-06-25,"example.com"
1575,"Experiment 1","original",2018-06-17,"example.com/pricing"
1589,"Experiment 1","original",2018-06-12,"example.com/pricing"
1598,"Experiment 1","original",2018-06-22,"example.com/pricing"
1601,"Experiment 1","original",2018-06-18,"example.com/pricing"
1601,"Experiment 2","A",2018-06-26,"example.com/features"
1645,"Experiment 1","original",2018-06-24,"example.com/features"
1645,"Experiment 2","A",2018-06-24,"example.com/features"
1652,"Experiment 1","original",2018-06-23,"example.com"
1654,"Experiment 1","original",2018-06-25,"example.com/pricing"
1661,"Experiment 1","original",2018-06-19,"example.com/pricing"
1661,"Experiment 2","A",2018-06-30,"example.com/features"
1665,"Experiment 1","original",2018-06-14,"example.com/pricing"
1673,"Experiment 1","variant",2018-07-02,"example.com"
1675,"Experiment Sim Currently Running","B",2019-02-04,"example.com"
1676,"Experiment 1","variant",2018-06-26,"example.com/features"
1676,"Experiment 2","B",2018-06-26,"example.com/features"
1686,"Experiment 2","B",2018-07-05,"example.com/features"
1696,"Experiment 1","variant",2018-06-16,"example.com/features"
1696,"Experiment 2","B",2018-06-21,"example.com/features"
1702,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
1704,"Experiment 1","variant",2018-06-26,"example.com"
1704,"Experiment 2","B",2018-07-06,"example.com/features"
1706,"Experiment Sim Currently Running","B",2019-02-04,"example.com"
1715,"Experiment 1","original",2018-06-26,"example.com/features"
1715,"Experiment 2","A",2018-06-26,"example.com/features"
1722,"Experiment 2","A",2018-07-17,"example.com/features"
1736,"Experiment 1","original",2018-06-23,"example.com/pricing"
1736,"Experiment 2","A",2018-06-25,"example.com/features"
1737,"Experiment 2","B",2018-07-13,"example.com/features"
1742,"Experiment 1","original",2018-06-07,"example.com/pricing"
1744,"Experiment 2","A",2018-07-13,"example.com/features"
1755,"Experiment 1","original",2018-06-26,"example.com/pricing"
1756,"Experiment 1","original",2018-06-15,"example.com"
1756,"Experiment 2","A",2018-06-19,"example.com/features"
1770,"Experiment 1","original",2018-06-20,"example.com/features"
1770,"Experiment 2","A",2018-06-20,"example.com/features"
1791,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
1794,"Experiment 1","variant",2018-06-12,"example.com/features"
1798,"Experiment 1","original",2018-06-04,"example.com/features"
1810,"Experiment Sim Currently Running","B",2019-01-28,"example.com"
1821,"Experiment 1","variant",2018-07-01,"example.com/features"
1821,"Experiment 2","B",2018-07-01,"example.com/features"
1833,"Experiment 1","original",2018-06-05,"example.com"
1844,"Experiment 1","original",2018-06-28,"example.com/features"
1844,"Experiment 2","A",2018-06-28,"example.com/features"
1855,"Experiment 1","variant",2018-06-05,"example.com"
1859,"Experiment 1","original",2018-06-15,"example.com"
1862,"Experiment 1","original",2018-06-13,"example.com"
1866,"Experiment 1","variant",2018-06-12,"example.com"
1866,"Experiment 2","B",2018-06-20,"example.com/features"
1869,"Experiment 1","variant",2018-06-04,"example.com"
1870,"Experiment 1","original",2018-06-07,"example.com"
1875,"Experiment 1","variant",2018-06-30,"example.com/features"
1875,"Experiment 2","B",2018-06-30,"example.com/features"
1877,"Experiment 1","variant",2018-06-08,"example.com"
1898,"Experiment Sim Currently Running","A",2019-01-25,"example.com"
1901,"Experiment 1","variant",2018-06-27,"example.com"
1903,"Experiment 2","B",2018-07-12,"example.com/features"
1904,"Experiment 1","original",2018-07-04,"example.com"
1908,"Experiment 2","B",2018-07-16,"example.com/features"
1909,"Experiment 1","original",2018-07-03,"example.com"
1911,"Experiment 1","variant",2018-06-16,"example.com/pricing"
1930,"Experiment 2","A",2018-07-12,"example.com/features"
1940,"Experiment Sim Currently Running","A",2019-01-27,"example.com"
1967,"Experiment 1","variant",2018-06-29,"example.com/pricing"
1979,"Experiment 1","variant",2018-06-05,"example.com/features"
1984,"Experiment 1","variant",2018-06-30,"example.com/pricing"
1985,"Experiment Sim Currently Running","B",2019-02-02,"example.com"
1992,"Experiment 1","variant",2018-06-10,"example.com/features"
1997,"Experiment 1","original",2018-06-20,"example.com/features"
1997,"Experiment 2","A",2018-06-20,"example.com/features"
2001,"Experiment 1","variant",2018-06-21,"example.com/features"
2001,"Experiment 2","B",2018-06-21,"example.com/features"
2004,"Experiment 1","original",2018-06-18,"example.com"
2004,"Experiment 2","A",2018-06-20,"example.com/features"
2007,"Experiment Sim Currently Running","B",2019-01-28,"example.com"
2009,"Experiment Sim Currently Running","A",2019-01-25,"example.com"
2023,"Experiment 1","original",2018-06-04,"example.com"
2028,"Experiment 1","variant",2018-06-11,"example.com"
2033,"Experiment 1","original",2018-06-21,"example.com/features"
2033,"Experiment 2","A",2018-06-21,"example.com/features"
2043,"Experiment 1","variant",2018-06-05,"example.com"
2046,"Experiment 2","A",2018-07-17,"example.com/features"
2062,"Experiment 1","original",2018-06-04,"example.com"
2071,"Experiment Sim Currently Running","B",2019-01-26,"example.com"
2072,"Experiment 1","variant",2018-06-14,"example.com"
2076,"Experiment 1","variant",2018-07-03,"example.com"
2078,"Experiment 1","variant",2018-06-29,"example.com/features"
2078,"Experiment 2","B",2018-06-29,"example.com/features"
2096,"Experiment 1","variant",2018-06-20,"example.com/features"
2096,"Experiment 2","B",2018-06-20,"example.com/features"
2097,"Experiment 1","original",2018-06-18,"example.com/pricing"
2109,"Experiment 1","original",2018-06-11,"example.com/pricing"
2114,"Experiment 1","original",2018-06-04,"example.com/pricing"
2121,"Experiment 1","original",2018-06-05,"example.com/pricing"
2132,"Experiment 1","variant",2018-07-01,"example.com/features"
2132,"Experiment 2","B",2018-07-01,"example.com/features"
2135,"Experiment 1","variant",2018-06-09,"example.com/features"
2174,"Experiment Sim Currently Running","A",2019-01-26,"example.com"
2176,"Experiment 1","original",2018-06-16,"example.com/pricing"
2176,"Experiment 2","A",2018-06-19,"example.com/features"
2199,"Experiment 1","original",2018-06-08,"example.com/pricing"
2203,"Experiment 1","variant",2018-06-10,"example.com"
2214,"Experiment 1","original",2018-06-07,"example.com/features"
2217,"Experiment Sim Currently Running","B",2019-01-24,"example.com"
2219,"Experiment 1","original",2018-06-24,"example.com"
2245,"Experiment 1","variant",2018-06-17,"example.com/features"
2249,"Experiment 1","variant",2018-06-16,"example.com"
2268,"Experiment Sim Currently Running","B",2019-01-27,"example.com"
2269,"Experiment 1","original",2018-07-01,"example.com"
2273,"Experiment 1","variant",2018-06-15,"example.com/pricing"
2278,"Experiment 1","original",2018-06-11,"example.com"
2279,"Experiment 1","original",2018-06-11,"example.com"
2291,"Experiment 1","original",2018-06-14,"example.com/features"
2296,"Experiment 1","original",2018-06-22,"example.com/features"
2296,"Experiment 2","A",2018-06-22,"example.com/features"
2298,"Experiment 1","original",2018-06-24,"example.com/pricing"
2298,"Experiment 2","A",2018-06-30,"example.com/features"
2301,"Experiment 1","original",2018-06-04,"example.com"
2309,"Experiment Sim Currently Running","A",2019-02-02,"example.com"
2312,"Experiment 1","variant",2018-06-25,"example.com"
2318,"Experiment 1","original",2018-06-17,"example.com"
2318,"Experiment 2","A",2018-06-19,"example.com/features"
2323,"Experiment Sim Currently Running","B",2019-01-24,"example.com"
2324,"Experiment 1","original",2018-06-10,"example.com/pricing"
2332,"Experiment 1","original",2018-07-02,"example.com/pricing"
2336,"Experiment Sim Currently Running","B",2019-01-28,"example.com"
2341,"Experiment 1","original",2018-06-09,"example.com"
2343,"Experiment 1","original",2018-06-20,"example.com"
2343,"Experiment 2","A",2018-06-23,"example.com/features"
2346,"Experiment Sim Currently Running","A",2019-01-29,"example.com"
2354,"Experiment 1","original",2018-06-05,"example.com/pricing"
2355,"Experiment 1","original",2018-06-09,"example.com"
2358,"Experiment 1","variant",2018-07-02,"example.com"
2358,"Experiment 2","B",2018-07-08,"example.com/features"
2369,"Experiment 1","variant",2018-07-04,"example.com"
2373,"Experiment 2","B",2018-07-15,"example.com/features"
2379,"Experiment 1","original",2018-07-03,"example.com"
2379,"Experiment 2","A",2018-07-06,"example.com/features"
2381,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
2386,"Experiment 1","variant",2018-06-20,"example.com"
2388,"Experiment 1","original",2018-06-26,"example.com/pricing"
2390,"Experiment 1","original",2018-06-07,"example.com"
2394,"Experiment 1","original",2018-06-27,"example.com"
2396,"Experiment Sim Currently Running","A",2019-01-26,"example.com"
2399,"Experiment 2","A",2018-07-17,"example.com/features"
2401,"Experiment Sim Currently Running","A",2019-01-28,"example.com"
2410,"Experiment 1","variant",2018-06-05,"example.com/features"
2417,"Experiment 1","original",2018-07-02,"example.com"
2417,"Experiment 2","A",2018-07-10,"example.com/features"
2422,"Experiment 1","variant",2018-06-04,"example.com/pricing"
2423,"Experiment 1","original",2018-06-17,"example.com/features"
2431,"Experiment 1","variant",2018-06-12,"example.com/features"
2438,"Experiment Sim Currently Running","A",2019-01-24,"example.com"
2463,"Experiment 1","original",2018-07-01,"example.com"
2465,"Experiment 1","variant",2018-06-19,"example.com/pricing"
2465,"Experiment 2","B",2018-06-24,"example.com/features"
2472,"Experiment 1","original",2018-06-20,"example.com"
2487,"Experiment 1","original",2018-06-29,"example.com"
2497,"Experiment 1","original",2018-07-01,"example.com/pricing"
2504,"Experiment 1","original",2018-06-04,"example.com"
2507,"Experiment Sim Currently Running","B",2019-01-25,"example.com"
2511,"Experiment 1","variant",2018-06-24,"example.com"
2514,"Experiment 1","variant",2018-06-17,"example.com"
2515,"Experiment 1","original",2018-06-13,"example.com"
2523,"Experiment 1","original",2018-06-12,"example.com/pricing"
2533,"Experiment 1","variant",2018-06-08,"example.com/features"
2551,"Experiment 1","original",2018-07-02,"example.com/features"
2551,"Experiment 2","A",2018-07-02,"example.com/features"
2560,"Experiment 1","original",2018-06-18,"example.com/features"
2560,"Experiment 2","A",2018-06-19,"example.com/features"
2565,"Experiment 1","variant",2018-06-19,"example.com"
2567,"Experiment 1","variant",2018-06-19,"example.com"
2581,"Experiment 1","original",2018-06-20,"example.com/pricing"
2585,"Experiment 1","original",2018-06-14,"example.com"
2596,"Experiment 1","original",2018-06-13,"example.com"
2614,"Experiment 2","A",2018-07-12,"example.com/features"
2653,"Experiment 1","variant",2018-07-03,"example.com"
2653,"Experiment 2","B",2018-07-09,"example.com/features"
2661,"Experiment 2","B",2018-07-13,"example.com/features"
2671,"Experiment 1","variant",2018-06-29,"example.com/features"
2671,"Experiment 2","B",2018-06-29,"example.com/features"
2678,"Experiment Sim Currently Running","A",2019-01-26,"example.com"
2684,"Experiment 1","variant",2018-06-05,"example.com/pricing"
2686,"Experiment 2","A",2018-07-05,"example.com/features"
2696,"Experiment 1","original",2018-06-12,"example.com"
2701,"Experiment 1","variant",2018-06-05,"example.com/features"
2708,"Experiment 1","variant",2018-06-25,"example.com/features"
2708,"Experiment 2","B",2018-06-25,"example.com/features"
2720,"Experiment Sim Currently Running","B",2019-01-28,"example.com"
2722,"Experiment 1","variant",2018-06-05,"example.com"
2726,"Experiment 1","original",2018-06-29,"example.com"
2727,"Experiment 1","variant",2018-06-22,"example.com/features"
2727,"Experiment 2","B",2018-06-22,"example.com/features"
2734,"Experiment 1","original",2018-06-08,"example.com"
2744,"Experiment 1","variant",2018-06-06,"example.com"
2746,"Experiment 1","variant",2018-06-06,"example.com"
2753,"Experiment Sim Currently Running","A",2019-01-28,"example.com"
2754,"Experiment 1","original",2018-06-23,"example.com/pricing"
2755,"Experiment 1","original",2018-06-21,"example.com"
2760,"Experiment 1","variant",2018-06-07,"example.com/features"
2763,"Experiment 1","original",2018-06-26,"example.com/pricing"
2769,"Experiment 2","A",2018-07-14,"example.com/features"
2796,"Experiment 1","variant",2018-06-09,"example.com"
2820,"Experiment 1","variant",2018-06-17,"example.com"
2826,"Experiment Sim Currently Running","A",2019-01-24,"example.com"
2829,"Experiment 1","variant",2018-06-07,"example.com/pricing"
2833,"Experiment 1","variant",2018-06-07,"example.com"
2845,"Experiment 1","original",2018-06-21,"example.com/features"
2845,"Experiment 2","A",2018-06-21,"example.com/features"
2847,"Experiment Sim Currently Running","B",2019-01-29,"example.com"
2860,"Experiment Sim Currently Running","A",2019-01-28,"example.com"
2865,"Experiment 2","A",2018-07-13,"example.com/features"
2871,"Experiment 1","variant",2018-06-17,"example.com"
2871,"Experiment 2","B",2018-06-26,"example.com/features"
2893,"Experiment Sim Currently Running","A",2019-01-25,"example.com"
2914,"Experiment 1","variant",2018-06-20,"example.com"
2926,"Experiment 1","original",2018-06-06,"example.com/features"
2943,"Experiment 1","original",2018-06-11,"example.com/features"
2944,"Experiment 1","variant",2018-06-18,"example.com/features"
2949,"Experiment 1","original",2018-06-09,"example.com"
2950,"Experiment Sim Currently Running","A",2019-01-26,"example.com"
2964,"Experiment 2","A",2018-07-07,"example.com/features"
